El nummer,ArtNr,Name,Voltage,Effect,MainSpec,Length,Area,Width,Weight,R_min,R_max,R_nom,Skjøt,El-number,Type,tags,isMat,self_limiting,per_meter,inside,outside
1036601,10022330,TKXP/2R 200/17,230,200,17,"11,8",,,"2,6","251,3","291,0","264,5",,1036601,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036602,10022331,TKXP/2R 300/17,230,300,17,"17,6",,,"3,6","167,5","193,9","176,3",,1036602,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036604,10022336,TKXP/2R 400/17,230,400,17,"23,5",,,"4,5","125,7","145,5","132,3",,1036604,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036603,10022337,TKXP/2R 500/17,230,500,17,"29,4",,,"5,5","100,5","116,4","105,8",,1036603,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036606,10022338,TKXP/2R 600/17,230,600,17,"35,2",,,"6,5","83,8","97,0","88,2",,1036606,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036605,10022339,TKXP/2R 700/17,230,700,17,"41,0",,,"7,4","71,8","83,2","75,6",,1036605,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036608,10022340,TKXP/2R 840/17,230,840,17,"49,7",,,"8,8","59,9","69,3","63,0",,1036608,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036607,10022332,TKXP/2R 1000/17,230,1000,17,"58,3",,,"10,3","50,3","58,2","52,9",,1036607,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036609,10022333,TKXP/2R 1250/17,230,1250,17,"72,4",,,"12,8","40,2","46,5","42,3",,1036609,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036610,10022334,TKXP/2R 1370/17,230,1370,17,"80,8",,,"14,0","36,7","42,5","38,6",,1036610,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036615,10235701,TKXP/2R 1500/17,230,1500,17,"88,3",,,"15,4","33,5","38,8","35,3",,1036615,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036611,10022335,TKXP/2R 1700/17,230,1700,17,"100,0",,,"17,4","29,5","34,2","31,1",,1036611,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036530,10022342,TKXP/2R 230/10,230,230,10,"22,8",,,"4,0",,,"230,0",,1036530,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036532,10022343,TKXP/2R 380/10,230,380,10,"38,3",,,"6,3",,,"139,2",,1036532,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036534,10022344,TKXP/2R 530/10,230,530,10,"53,4",,,"8,5",,,"99,8",,1036534,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036535,10089004,TKXP/2R 650/10,230,650,10,"65,0",,,"10,0",,,"81,4",,1036535,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036536,10022345,TKXP/2R 760/10,230,760,10,"76,0",,,"12,0",,,"69,6",,1036536,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036538,10022346,TKXP/2R 940/10,230,940,10,"94,4",,,"14,9",,,"56,3",,1036538,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036540,10022341,TKXP/2R 1050/10,230,1050,10,"105,4",,,"16,6",,,"50,4",,1036540,TKXP/2R,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,TRUE
1036541,10118074,Xtreme 300/17,230,300,17,"17,6",,,"3,7",,,"176,3",,1036541,Xtreme,,FALSE,FALSE,FALSE,TRUE,FALSE
1036542,10118075,Xtreme 400/17,230,400,17,"23,5",,,"4,7",,,"132,3",,1036542,Xtreme,,FALSE,FALSE,FALSE,TRUE,FALSE
1036543,10118076,Xtreme 500/17,230,500,17,"29,3",,,"5,7",,,"105,8",,1036543,Xtreme,,FALSE,FALSE,FALSE,TRUE,FALSE
1036544,10118077,Xtreme 600/17,230,600,17,"35,2",,,"6,7",,,"88,2",,1036544,Xtreme,,FALSE,FALSE,FALSE,TRUE,FALSE
1036545,10118079,Xtreme 700/17,230,700,17,"41,0",,,"7,0",,,"75,6",,1036545,Xtreme,,FALSE,FALSE,FALSE,TRUE,FALSE
1036546,10118080,Xtreme 840/17,230,840,17,"49,7",,,"9,0",,,"63,0",,1036546,Xtreme,,FALSE,FALSE,FALSE,TRUE,FALSE
1036547,10118081,Xtreme 1000/17,230,1000,17,"58,3",,,"10,5",,,"52,9",,1036547,Xtreme,,FALSE,FALSE,FALSE,TRUE,FALSE
1036640,10224120,TXLP/2R Nordic 200/17,230,200,17,"11,8",,,"1,1",,,"264,5",,1036640,TXLP/2R Nordic,"low_profile, frost_protection, frost_protection_pipe",FALSE,FALSE,FALSE,TRUE,FALSE
